Player,RUSH ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
David Johnson,281.5,1180.6,11.8,75.2,747.5,4.1,3.1,282.01,168.79,1.0,0.4
Le'Veon Bell,293.1,1339.9,9.2,77.2,633.7,2.3,2.6,261.16,147.94,2.0,0.4
LeSean McCoy,240.7,1172.2,9.2,47.9,371.1,1.8,1.5,217.33,104.11,3.0,1.0
Devonta Freeman,215.9,950.2,8.6,55.1,475.5,2.6,1.9,205.97,92.75,4.0,1.4
Melvin Gordon,274.3,1092.1,8.1,46.7,402.9,1.9,2.9,203.7,90.48,5.0,1.3
Jordan Howard,267.5,1246.7,7.1,34.6,304.1,1.3,1.8,201.88,88.66,8.0,1.7
Jay Ajayi,268.4,1203.5,8.3,35.7,254.2,1.4,1.7,200.57,87.35,7.0,1.9
DeMarco Murray,245.0,1056.6,7.2,44.7,323.9,2.1,1.9,190.05,76.83,6.0,1.8
Todd Gurley,275.0,1036.5,8.0,38.7,296.3,1.0,1.7,183.88,70.66,10.0,2.3
Lamar Miller,263.2,1068.5,6.4,35.8,258.6,1.3,1.8,175.31,62.09,14.0,3.5
Leonard Fournette,237.1,1027.1,7.0,30.8,235.2,1.4,1.9,172.83,59.61,11.0,3.3
Ezekiel Elliott,200.4,970.3,7.2,25.4,241.0,1.0,1.5,167.33,54.11,9.0,4.8
Isaiah Crowell,217.2,944.7,6.3,37.2,294.9,0.7,1.8,162.36,49.14,15.0,2.7
Marshawn Lynch,200.3,838.6,8.1,31.3,231.7,1.0,1.7,158.23,45.01,12.0,4.4
Dalvin Cook,197.4,828.7,6.5,38.3,303.2,1.6,1.8,158.19,44.97,16.0,5.3
Ty Montgomery,159.1,746.3,5.2,45.1,363.8,1.7,1.3,149.81,36.59,19.0,5.7
Christian McCaffrey,154.4,682.3,4.3,49.7,434.8,2.4,1.4,149.11,35.89,13.0,5.3
Mark Ingram,165.7,764.2,5.3,42.3,314.4,2.2,1.8,149.26,36.04,20.0,4.0
Carlos Hyde,217.7,920.8,5.9,27.6,189.0,1.2,3.8,145.98,32.76,17.0,3.5
Joe Mixon,182.6,763.3,6.0,34.8,277.5,1.0,1.8,142.48,29.26,18.0,5.7
Bilal Powell,160.5,727.5,4.1,52.1,377.9,1.7,1.6,142.14,28.92,25.0,5.0
Tevin Coleman,130.5,569.7,5.2,35.6,365.2,2.5,1.2,137.29,24.07,23.0,4.7
Ameer Abdullah,172.8,728.5,4.4,33.8,282.9,2.0,1.5,136.54,23.32,22.0,4.8
Frank Gore,207.1,791.9,4.7,30.2,229.8,1.5,2.0,135.37,22.15,32.0,5.0
C.J. Anderson,177.9,757.2,4.9,28.1,218.6,1.0,1.4,130.18,16.96,21.0,4.9
Terrance West,182.1,723.7,5.0,31.7,223.4,1.0,1.5,127.71,14.49,36.0,7.3
Spencer Ware,165.7,705.1,5.1,25.8,233.5,1.1,2.4,126.26,13.04,,
Paul Perkins,192.6,780.7,3.8,25.2,213.7,1.0,1.3,125.64,12.42,31.0,6.4
Mike Gillislee,151.6,708.4,7.1,13.5,104.3,0.5,1.2,124.47,11.25,24.0,5.0
Eddie Lacy,169.4,735.2,4.9,19.8,157.7,0.9,1.1,121.89,8.67,35.0,8.7
Robert Kelley,183.9,761.9,5.6,15.8,118.7,0.3,1.3,120.86,7.64,34.0,6.8
Kareem Hunt,142.1,587.3,4.4,33.2,261.5,0.9,1.4,113.88,0.66,28.0,7.3
Doug Martin,178.0,703.6,4.7,20.4,162.1,0.8,2.7,114.17,0.95,26.0,6.6
Matt Forte,150.5,607.8,3.8,30.7,249.0,1.3,1.4,113.48,0.26,45.0,7.2
Jonathan Stewart,177.4,724.9,5.5,11.5,87.2,0.4,2.3,112.01,-1.21,38.0,5.9
Danny Woodhead,82.1,344.7,2.2,59.7,477.6,2.9,1.0,110.83,-2.39,33.0,7.0
Theo Riddick,78.8,301.2,2.0,61.6,489.6,3.4,1.0,109.48,-3.74,40.0,5.5
LeGarrette Blount,169.2,685.0,6.1,8.4,54.0,0.2,1.4,108.9,-4.32,29.0,6.2
Adrian Peterson,153.2,634.0,5.6,21.7,145.0,0.4,3.0,107.9,-5.32,27.0,5.8
Duke Johnson,86.5,368.0,1.9,57.2,497.9,1.8,1.2,106.39,-6.83,43.0,5.9
Derrick Henry,141.5,613.3,4.4,16.1,148.9,0.8,1.1,105.22,-8.0,30.0,6.4
Darren Sproles,82.9,367.8,2.2,48.5,378.4,1.9,1.1,97.02,-16.2,51.0,9.0
Darren McFadden,129.2,545.1,4.2,20.7,161.0,0.3,1.9,93.81,-19.41,37.0,14.0
James White,55.0,227.2,1.6,48.8,423.0,3.3,1.2,92.02,-21.2,46.0,7.8
Giovani Bernard,101.6,414.3,2.2,35.5,299.2,1.3,1.5,89.35,-23.87,58.0,6.8
Jamaal Charles,98.8,433.3,3.2,27.3,221.7,1.2,2.9,86.1,-27.12,49.0,8.4
Thomas Rawls,119.9,485.5,4.1,13.0,100.4,0.2,1.0,82.39,-30.83,39.0,7.2
Chris Thompson,56.2,265.7,1.7,47.7,358.3,2.0,1.3,82.0,-31.22,71.0,9.0
C.J. Prosise,56.3,255.6,2.0,38.0,358.4,1.4,1.0,79.8,-33.42,50.0,7.5
Shane Vereen,67.3,287.7,1.5,40.7,322.7,1.9,2.3,76.84,-36.38,69.0,10.6
Jamaal Williams,112.5,470.5,3.6,11.0,81.4,0.2,1.3,75.39,-37.83,44.0,9.9
Samaje Perine,111.7,453.8,3.5,13.5,106.5,0.2,1.4,75.43,-37.79,41.0,9.1
Rex Burkhead,93.1,392.3,3.2,17.1,139.9,0.7,1.3,74.02,-39.2,52.0,10.9
Jeremy Hill,113.8,445.8,3.8,10.6,78.5,0.1,1.2,73.43,-39.79,48.0,8.0
Jacquizz Rodgers,110.6,467.9,2.6,16.2,115.8,0.2,1.2,72.77,-40.45,42.0,7.6
Latavius Murray,105.9,419.8,3.3,15.7,109.3,0.2,1.7,70.51,-42.71,47.0,9.0
DeAndre Washington,89.8,420.4,2.3,19.3,140.5,0.6,1.6,70.29,-42.93,60.0,8.8
Charles Sims,69.9,269.7,1.3,33.6,292.4,1.6,1.8,70.01,-43.21,67.0,8.3
Robert Turbin,74.3,284.6,3.0,24.0,173.3,1.2,1.1,68.79,-44.43,74.0,10.9
Dion Lewis,80.5,350.9,2.3,24.1,186.6,1.0,2.4,68.75,-44.47,62.0,9.2
Jonathan Williams,93.0,394.0,3.4,11.1,76.7,0.2,2.9,62.87,-50.35,53.0,10.0
Jalen Richard,61.4,299.2,1.6,23.9,177.8,0.9,1.2,60.3,-52.92,64.0,7.1
Alvin Kamara,47.8,204.3,1.7,30.5,251.5,1.2,1.3,60.38,-52.84,63.0,8.2
Tim Hightower,84.9,338.9,2.5,14.2,115.3,0.2,1.3,59.02,-54.2,87.0,9.2
T.J. Yeldon,63.3,241.3,1.2,33.3,233.1,0.9,1.3,57.44,-55.78,68.0,7.6
D'Onta Foreman,81.4,325.6,2.3,12.9,91.2,0.1,1.2,53.68,-59.54,55.0,8.4
Wendell Smallwood,79.4,326.0,1.8,11.4,85.6,0.1,1.2,50.16,-63.06,61.0,11.4
Devontae Booker,73.4,285.3,1.5,16.3,131.1,0.6,2.4,49.44,-63.78,65.0,9.6
Joe Williams,71.2,292.4,1.7,13.8,105.4,0.3,1.5,48.78,-64.44,54.0,9.9
Marlon Mack,55.7,223.4,1.5,16.9,131.6,0.5,0.7,46.1,-67.12,56.0,10.6
Damien Williams,43.9,162.5,1.3,17.7,153.3,1.4,0.9,45.98,-67.24,97.0,7.9
Jerick McKinnon,53.1,210.2,0.8,23.9,163.7,0.9,1.2,45.19,-68.03,89.0,8.5
James Conner,56.2,226.4,2.1,9.3,71.7,0.1,0.5,42.01,-71.21,59.0,8.8
Tarik Cohen,50.5,223.5,1.2,14.1,115.6,0.3,1.0,40.91,-72.31,73.0,11.7
Alfred Morris,63.6,265.0,1.6,5.7,36.1,0.1,0.3,39.71,-73.51,70.0,9.8
Zach Zenner,45.1,169.0,1.7,11.8,99.8,0.1,0.2,37.28,-75.94,77.0,8.0
Branden Oliver,53.5,201.3,1.0,13.0,105.8,0.3,1.5,35.51,-77.71,86.0,7.6
Kyle Juszczyk,6.5,25.1,0.2,26.7,214.1,1.4,0.0,33.52,-79.7,72.0,12.7
